-49.0	151.0
-149.0	151.0
-149.0	251.0
-249.0	251.0
-249.0	351.0
-249.0	451.0
-249.0	551.0
-349.0	551.0
-449.0	551.0
-549.0	551.0
-549.0	651.0
-549.0	751.0
-549.0	851.0
-449.0	851.0
-449.0	951.0
-449.0	1051.0
-549.0	1051.0
-549.0	1151.0
-549.0	1251.0
-649.0	1251.0
-749.0	1251.0
-849.0	1251.0
-849.0	1151.0
-949.0	1151.0
-1049.0	1151.0
-1149.0	1151.0
-1249.0	1151.0
-1349.0	1151.0
-1449.0	1151.0
-1549.0	1151.0
-1649.0	1151.0
-1649.0	1251.0
-1649.0	1351.0
-1649.0	1451.0
-1649.0	1551.0
-1749.0	1551.0
-1849.0	1551.0
-1849.0	1451.0
